epoch,loss,val_loss
0,0.018411312252283096,0.0032336623407900333
1,0.004177771974354982,0.002364099258556962
2,0.003564424579963088,0.0021142582409083843
3,0.0033056712709367275,0.002044162480160594
4,0.002971228677779436,0.0019016994629055262
5,0.0027372175827622414,0.00164407875854522
6,0.0025486222002655268,0.001643560011871159
7,0.0025069587863981724,0.0015298876678571105
8,0.0024510228540748358,0.0014581178547814488
9,0.0023435663897544146,0.0013821438187733293
10,0.002187262289226055,0.0014125960879027843
11,0.0020688767544925213,0.0013152116443961859
12,0.0020230915397405624,0.0014468414010480046
13,0.0019525446696206927,0.0012944749323651195
14,0.0019159670919179916,0.0013097305782139301
15,0.001896049128845334,0.0012577446177601814
16,0.0018358577508479357,0.001232203096151352
17,0.001789918984286487,0.0012604877119883895
18,0.0017765634693205357,0.001568871783092618
19,0.0017521370900794864,0.001138795749284327
20,0.0017143602017313242,0.0014174560783430934
21,0.0017120136180892587,0.001098553417250514
22,0.001663942588493228,0.001198692829348147
23,0.0016945506213232875,0.0010779438307508826
24,0.0016360197914764285,0.00112882477696985
25,0.0016214408678933978,0.0010702467989176512
26,0.0016141148516908288,0.0010156886419281363
27,0.0015987094957381487,0.0011192074744030833
28,0.0015846844762563705,0.0010561883682385087
29,0.0015203052898868918,0.0009292536415159702
30,0.0015130715910345316,0.0009724044939503074
31,0.0014893226325511932,0.0010330803925171494
32,0.0014934927457943559,0.0009786072187125683
33,0.0014564950251951814,0.0010760511504486203
34,0.0014653977705165744,0.000993704772554338
35,0.0014501686673611403,0.0010829077800735831
36,0.001438201405107975,0.0010130520677194
37,0.001441268133930862,0.0009891350055113435
38,0.0014438808429986238,0.0009241487714461982
39,0.0014261900214478374,0.0009434214443899691
40,0.0014019794762134552,0.0009727178839966655
41,0.0014060637913644314,0.0010325547773391008
42,0.0013913704315200448,0.0008993289084173739
43,0.0013887629611417651,0.0008825418190099299
44,0.0013787783682346344,0.0009922129102051258
45,0.0013664624420925975,0.0009158705361187458
46,0.0013684732839465141,0.0009119088645093143
47,0.0013857715530321002,0.0009942315518856049
48,0.001344789401628077,0.0009119356982409954
49,0.0013511256547644734,0.0009384345030412078
50,0.0013407852966338396,0.0009126114309765399
51,0.0013259737752377987,0.0008991064387373626
52,0.0013210816541686654,0.0009293655166402459
53,0.0013103359378874302,0.0008521619020029902
54,0.001301950658671558,0.0008848960278555751
55,0.001319219940342009,0.0009460325818508863
56,0.0012972994009032845,0.0008735994342714548
57,0.0013079274212941527,0.0008788494160398841
58,0.001286581507883966,0.0009088595979847014
59,0.0012904347386211157,0.0009495695121586323
60,0.001284300466068089,0.0009046405320987105
61,0.00128552271053195,0.0009385542944073677
62,0.0012659234926104546,0.0008843661635182798
63,0.001256040995940566,0.0008363375090993941
64,0.001264296006411314,0.0008642181055620313
65,0.0012636848259717226,0.0009162341593764722
66,0.0012647142866626382,0.0008782410877756774
67,0.0012445483589544892,0.0008949144976213574
68,0.0012363388668745756,0.0009660409996286035
69,0.0012424709275364876,0.000976311624981463
70,0.001233952003531158,0.0008262615883722901
71,0.0012249971041455865,0.0008730417466722429
72,0.0012202872894704342,0.0009741454850882292
73,0.0012389690382406116,0.0008472619228996336
74,0.0012059020809829235,0.0008456514915451407
75,0.001228103879839182,0.0008853210601955652
76,0.001214645686559379,0.0008963005384430289
77,0.0012163263745605946,0.0008332503493875265
78,0.001192856696434319,0.001078279223293066
79,0.0012036204570904374,0.000870987307280302
80,0.0012016267282888293,0.0008653137483634055
81,0.0011906269937753677,0.0008484359132125974
82,0.0012003148440271616,0.0008896336075849831
83,0.0011994288070127368,0.0008094477234408259
84,0.001186138717457652,0.0008077952079474926
85,0.0011766159441322088,0.0008726155501790345
86,0.0011693895794451237,0.0008132373914122581
87,0.0011752452701330185,0.0008082026615738869
88,0.001187565503641963,0.0008743968792259693
89,0.0011737252352759242,0.0008101650164462626
90,0.0011898110387846828,0.0009104249766096473
91,0.0011585402535274625,0.000842317589558661
92,0.0011681676842272282,0.001186011708341539
93,0.0011567361652851105,0.000870773452334106
94,0.0011551034403964877,0.0008650721283629537
95,0.0011607533087953925,0.0008541126153431833
96,0.0011729226680472493,0.0008312723366543651
97,0.0011509101605042815,0.0008554789237678051
98,0.0011759757762774825,0.0008832943276502192
99,0.0011501600965857506,0.0008546840981580317
